watchid,product_name,brand,style,distance,price,smartwatch,battery,preferencescore,description,image,link
1,Garmin Forerunner 970,garmin,any,medium,750,phone_free,medium,9.5,"Garmin’s flagship Forerunner for serious athletes, featuring advanced training metrics, long battery life, and full smartwatch capabilities.",https://m.media-amazon.com/images/I/61utDjAksTL._AC_SL1500_.jpg,https://amzn.to/4jeDlvy
2,Garmin Forerunner 570,garmin,"any,sleek","minimum,medium,stay_active",550,notifications_nice,medium,8.75,"A mid-range GPS running watch offering great value with accurate tracking, music storage, and daily workout suggestions.",https://m.media-amazon.com/images/I/61eHkqcy2tL._AC_SL1500_.jpg,https://amzn.to/3H1DXaz
3,Garmin Forerunner 165,garmin,"any,sleek",minimum,200,notifications_nice,medium,7.3,"An entry-level GPS running watch with an AMOLED display, heart rate tracking, and smartwatch features like music and notifications.",https://m.media-amazon.com/images/I/61m+fKy7wzL._AC_SL1500_.jpg,https://amzn.to/3Sr86Cr
4,Apple Watch Ultra 2,apple,rough,medium,741,phone_free,minimum,9.25,"Apple’s rugged, adventure-ready smartwatch with dual-frequency GPS, dive features, and up to 36 hours of battery life.",https://m.media-amazon.com/images/I/71SKOyjXoUL._AC_SL1500_.jpg,https://amzn.to/3YgWFjZ
5,Apple Watch Series 10,apple,sleek,"minimum,stay_active",360,phone_free,minimum,8.25,"A sleek, versatile smartwatch that’s perfect for everyday fitness tracking and smartwatch features like music, calls, and apps.",https://m.media-amazon.com/images/I/61bJZx1v8GL._AC_SL1500_.jpg,https://amzn.to/3E0ZcYQ
6,SUUNTO Race,suunto,rough,max,450,gps_battery,max,8,"A powerful multisport watch with Suunto’s best-in-class battery life and a vibrant AMOLED display, made for endurance athletes.",https://m.media-amazon.com/images/I/51tP0V5VSlL._AC_SL1080_.jpg,https://amzn.to/3Rv7rPR
7,SUUNTO 9 Peak Pro,suunto,sleek,medium,250,gps_battery,medium,7.75,"An ultra-light and stylish GPS watch with excellent durability, long battery life, and precise performance tracking.",https://m.media-amazon.com/images/I/61T1UJw+PsL._AC_SL1500_.jpg,https://amzn.to/3FLOC8r
8,COROS VERTIX 2S,coros,rough,max,700,gps_battery,max,9,"Coros’s most rugged GPS watch built for ultra runners and adventurers, with dual-frequency GPS and up to 60 days of battery in standard mode.",https://m.media-amazon.com/images/I/61q20ffEsQL._AC_SL1500_.jpg,https://amzn.to/41T3t9Q
9,COROS APEX 2 Pro,coros,"any,sleek","minimum,medium,stay_active",450,notifications_nice,max,8.5,"A balanced choice for runners wanting premium performance, offline maps, accurate GPS, and exceptional battery life.",https://m.media-amazon.com/images/I/61k3xyQMb5L._AC_SL1200_.jpg,https://amzn.to/3Yan0Ag
10,COROS PACE 3,coros,"any,sleek","minimum,medium",230,gps_battery,max,7,"Ultra-light and affordable GPS watch designed for serious runners, offering long battery life, accurate tracking, and powerful training tools.",https://m.media-amazon.com/images/I/61HE8zhwT7L._AC_SL1500_.jpg,https://amzn.to/43jOQNz
11,Polar Grit X2 Pro,polar,rough,max,885,notifications_nice,max,7.5,"A top-tier outdoor GPS watch with military-grade durability, dual-frequency GPS, and AMOLED display for serious explorers.",https://m.media-amazon.com/images/I/711z1nUpRyL._AC_SL1500_.jpg,https://amzn.to/4j8mtqG
12,Polar Grit X Pro,polar,any,"minimum,medium",443,none,medium,7.25,Reliable and rugged multisport GPS watch with strong battery life and detailed training tools for runners and outdoor athletes.,https://m.media-amazon.com/images/I/719Bv-h07lL._AC_SL1500_.jpg,https://amzn.to/4jfjX1V
